Name,Onset,Offset,R-Onset,R-Offset,
1,0,0,0,0,
2,0,0,0,0,
3,8.78,11.2,8,12,
4,0,0,0,0,
5,24.68,25.13,24,26,
6,0,0,0,0,
7,4.55,5.68,4,6,
8,24.85,26.25,24,27,
9,15.43,16.28,15,17,
10,0,0,0,0,
11,24.2,26.22,24,27,
12,25.95,27.28,25,28,
13,0,0,0,0,
14,1.41,2.28,1,3,
15,19.95,22.61,19,23,
16,0,0,0,0,
17,0,0,0,0,
18,0,0,0,0,
19,0,0,0,0,
20,0,0,0,0,
21,25.8,27.49,25,28,
22,15.3,17.11,15,18,
23,27.6,28.71,27,29,
24,20.97,23.11,20,24,
25,0,0,0,0,
26,12.84,13.76,12,14,
27,0,0,0,0,
28,0,0,0,0,
29,0,0,0,0,
30,9.17,10.01,9,11,
31,0,0,0,0,
32,0,0,0,0,
33,0,0,0,0,
34,0,0,0,0,
35,0,0,0,0,
36,9.46,10.09,9,11,
37,0,0,0,0,
38,0,0,0,0,
39,20.39,22,20,22,
40,20.73,22.64,20,23,
41,0.66,2.03,0,3,
42,0,0,0,0,
43,24.86,26.33,24,27,
44,18.33,22.64,18,23,
45,16.56,17,16,17,
46,0,0,0,0,
47,0,0,0,0,
48,0,0,0,0,
49,0,0,0,0,
50,12.76,15.64,12,16,
51,0,0,0,0,
52,0,0,0,0,
53,15.27,17.2,15,18,
54,0,0,0,0,
55,5.82,7.32,5,8,
56,2.77,3.94,2,4,
57,4.58,5.64,4,6,
58,13.21,13.85,13,14,
59,0,0,0,0,
60,15.39,16.3,15,17,
61,0.54,2.16,0,3,
62,0,0,0,0,
63,1.88,3.25,1,4,
64,6.32,7.37,6,8,
65,19.9,22.58,19,23,
66,0,0,0,0,
67,1.3,3.1,1,4,
68,0,0,0,0,
69,0,0,0,0,
70,0,0,0,0,
71,0,0,0,0,
72,0,0,0,0,
73,20.45,23.59,20,24,
74,0,0,0,0,
75,0,0,0,0,
76,0,0,0,0,
77,12.87,14.9,12,15,
78,12.92,14.86,12,15,
79,0,0,0,0,
80,0,0,0,0,
81,13.55,14.66,13,15,
